txn_id,account_id,txn_date,txn_type,amount,channel
TXN00000001,ACC00004160,2023-12-15 22:46:31,DEPOSIT,6436.89,ATM
TXN00000002,ACC00009849,2023-10-24 07:01:12,DEPOSIT,32033.88,ONLINE
TXN00000003,ACC00007401,2023-03-22 15:36:53,PAYMENT,75161.33,ONLINE
TXN00000004,ACC00001930,2023-01-21 06:44:36,PAYMENT,69058.17,BRANCH
TXN00000005,ACC00008793,2023-03-11 17:01:59,TRANSFER,81703.47,ONLINE
TXN00000006,ACC00005051,2023-10-13 08:26:18,WITHDRAWAL,27199.02,ONLINE
TXN00000007,ACC00004412,2023-09-21 18:45:41,WITHDRAWAL,5489.08,ATM
TXN00000008,ACC00007620,2023-09-01 11:39:02,PAYMENT,39565.24,MOBILE
TXN00000009,ACC00008475,2023-03-07 11:53:54,WITHDRAWAL,80142.26,MOBILE
TXN00000010,ACC00001778,2023-04-11 20:06:27,WITHDRAWAL,73515.02,ONLINE
TXN00000011,ACC00009262,2023-02-03 05:43:15,DEPOSIT,91606.59,ATM
TXN00000012,ACC00003766,2023-12-17 01:22:47,PAYMENT,76953.06,POS
TXN00000013,ACC00009541,2023-02-08 09:06:31,PAYMENT,49550.14,ATM
TXN00000014,ACC00009192,2023-05-29 09:41:47,DEPOSIT,45776.74,POS
TXN00000015,ACC00003642,2023-09-12 01:09:58,DEPOSIT,34845.77,BRANCH
TXN00000016,ACC00008987,2023-07-08 23:53:27,TRANSFER,37477.05,BRANCH
TXN00000017,ACC00005528,2023-08-11 01:05:38,PAYMENT,67832.21,POS
TXN00000018,ACC00007704,2023-03-08 08:26:29,PAYMENT,36947.42,BRANCH
TXN00000019,ACC00006545,2023-08-01 16:59:45,DEPOSIT,3455.23,ATM
TXN00000020,ACC00003316,2023-06-18 02:57:17,TRANSFER,88639.84,ATM
TXN00000021,ACC00008266,2023-06-11 06:24:22,TRANSFER,31862.62,MOBILE
TXN00000022,ACC00000673,2023-12-29 17:17:37,PAYMENT,19916.49,MOBILE
